time,rank,song_id,title,singers,album,date,genre,creator,lyric
1999.12.19~12.25,1,38541,부메랑,김건모,Growing,1999.11.20,Ballad,문창배,다가오지마 더 이상   위로될 수 없다는 것을  모르는 것처럼   걱정하지마 차라리   편하기까지 하다니까  믿고 싶지 않니   나를 걱정해서 내게 오는 거라면   이제는 아무렇지도 않아   니가 후회해서 돌아오는 거라도   이번에는 내가 싫어   다가오지마 더 이상   위로될 수 없다는 것을  모르는 것처럼   걱정하지마 차라리  편하기까지 하다니까   믿고 싶지 않니  이제야 간신히 너의 그늘 속에서   벗어나 담담할 수 있는데   난 항상 너에게 목을 메고 있다고   그렇게 착각 한 거니   다가오지마 더 이상   위로될 수 없다는 것을  모르는 것처럼   걱정하지마 차라리   편하기까지 하다니까   믿고 싶지 않니   다가오지마   다가오지마 더 이상   위로될 수 없다는 것을  모르는 것처럼   걱정하지마 차라리  편하기까지 하다니까   믿고 싶지 않니   다가오지마 언젠가 다시는   사랑 할 수 있데도  No no no no no  이젠 괜찮아 괜찮아   그 만큼 그만큼의 고통뿐  이젠 괜찮아  다가오지마 걱정하지마 오 이젠 괜찮아
1999.12.19~12.25,2,489866,비젼,유승준,You Seung Jun Best & J Duet Collection,2001.09.01,Dance,이현도,"아닐거라 말해도 눈감지는 말아  네 꿈을 찾을 테니까  - 간 주 중 - 숫자만 하나씩 밀려나가는  어제와 똑같은 지친 아침을  생각없이 체념한 듯이 맞이하고 있니?  모두가 똑같은 표준의 시계 그대로  보며 맞춰나가며 그대로  너는 정말로 행복할꺼니?  누구를 위한 것도 아냐, 꿈이없다면 메뉴얼대로 살아만 간다면  과연 꿈꿀 수 있을까?  커다란 날개를 달아!다시 태어나!  허무하게 남겨진 어제를 벗어나!  높이 날고 싶다면 작은 망설임은 걷어차버려!  끝없는 미지를 향해 내딛어야 해!  새롭게 시작되는 오늘에 누구도  나를 대신 살아 줄 수는 없는거야  추운날의 알레르기 따위에 겁을 내는 것이  어떻게 행복해지는 거야?  그래 다 그렇게 무균상태에 길들여져서  자신도 모르게 약해져 가는데 울어버린 것만 같은 후회 뒤늦게 밀려올때  그땐 늦게 될꺼야  진정한 자신의 바램에 가깝게 가기위해  꿈을 멈추어서는 안돼 네 삶을 사는 것이 아냐 뜻이 없다면 메뉴얼대로 살아만 간다면 과연 꿈꿀 수 있을까?  커다란 날개를 달아!다시 태어나!  허무하게 남겨진 어제를 벗어나!  높이 날고 싶다면  작은 망설임은 걷어차버려!  끝없는 미지를 향해 내딛어야 해!  새롭게 시작되는 오늘에 누구도  나를 대신 살아 줄 수는 없는거야 다시 태어난다 해도 자신이고 싶은  그런 모습의 그삶을 위하여 발을 내딛어!  그 아무도 알 수 없는 내일로"
1999.12.19~12.25,3,105690,나의 왕자님께 (To My Prince),핑클,Special,1999.11.26,Ballad,김혜선,잘 모르겠어요 내가 꿈꾸던  어린 왕자님이 그대였는지  나 태어날때부터 우리 만남이  정해진 것처럼 편안했어요  참 이상해요 사랑한단 이유로  그대의 여자되고 싶은 맘이 간절해져요   혹시 알고 있나요 그대로 인해  이 세상이 아름다울 수 있다는걸 배웠기에  믿고 싶어요 오늘도 감히 난  그대가 있었기에 행복하다고   날 알아줄래요 어설픈 약속  우리의 미래가 두려워져요  아직은 내가 많이 어린가봐요  먼 훗날 후회하면 어떡하나 걱정이 되요   혹시 알고 있나요 그대로 인해  이 세상이 아름다울 수 있다는걸 배웠기에  믿고 싶어요 오늘도 감히 난  그대가 있었기에 행복하다고   시간이 나를 속여도 허락할께요  For you   그래요 나는 그댈 믿어요  그것만이 내가 가진 것 전부이기 때문이죠  약속할께요 그대만 바라보다  이 세상 다하는 날 함께 간다고
1999.12.19~12.25,4,91324,사랑해 그리고 기억해,god,Chapter 2,1999.11.25,Ballad,박진영,Uh 사랑하는 사람을  보내야만 했던  모든 사람들에게 바칩니다  돌아보면 너무나 아름다웠어  내 인생에 다시 못 올  순간들이었어  너를 보면 보고 있으면  아무 이유없이 눈물이  흐르곤 했어  행복했어 영원히 잊지  못할만큼  사랑했어 너를 보낼 수  없을만큼  하지만 그만큼이 내 몫이  아니기에  내 것이 아님을 알기에  행복해 이젠 널 보낼게  너의 그 사람에게  널 위해 흘릴 눈물만큼 넌  꼭 행복해야해  사랑해 그리고 기억해  떠난게 후회될 때 언제라도 나의품에  돌아와도 돼  보내야 해 보내야 해 여기서  만족해야 해  몇번이고 다짐을 해봐도  수없이 계속 내 자신을  타일러봐도  왼쪽 가슴 한 구석이  너무 아파와  계속 눈에선 눈물이  흘러 내려와  지나간 추억들 자꾸 돌아와  도대체 왜 이럴까 why why  행복해 이젠 널 보낼게  너의 그 사람에게  널 위해 흘릴 눈물만큼  넌 꼭 행복해야해  사랑해 그리고 기억해  떠난게 후회될때 언제라도 나의 품에 돌아와도 돼  돌아보면 너무나 아름다웠어  내 인생에 다시 못 올  순간들이었어  너를 보면 보고 있으면  아무 이유없이 눈물이  흐르곤 했어  행복했어 영원히 잊지  못할만큼  사랑했어 너를 보낼수  없을만큼  하지만 그만큼이 내 몫이  아니기에  내것이 아님을 알기에  행복해 이젠 널 보낼게  너의 그 사람에게  널 위해 흘릴 눈물만큼 넌  꼭 행복해야 해  사랑해 그리고 기억해  떠난게 후회될때  언제라도 나의 품에 돌아와도 돼
1999.12.19~12.25,5,1139376,상처,조성모,For Your Soul,1999.09.09,Dance,이승호,오 니가 없이는 완전해질수 없었던 삶의 의미를 나 이제서야 알겠어 슬픈운명을 다 바꿀수는 없겠지 상처뿐이던 너와의 그 기억들도 가까이 이별이 온걸 알고있었어  너와 함께해도 자꾸  어긋나던 시선을 느꼈을 때  나 하지만 아무런 준비 할수 없었어  너의 눈빛속에 사라지는  나를 바라만 볼뿐  난 단지 너와의 헤어짐 뒤에 올  차가운 눈물이 될 기억들 중에  더이상 추억 만들지 않으려 애를쓸뿐  잔인하게 좀더 냉정하게  내게 돌아서서 떠나줘  너의 뒷모습에 그나마  내 아픈 상처가 더 깊지 않도록  알고있어 니가 떠난뒤에  내가 어떻게 변해갈지 울컥 솟아나는 눈물이  내남은 삶들을 채워가는 걸  너의 사랑을 돌이킬 수가 없다면 아픈 가슴도 조금씩 죽어가겠지 나와는 그토록 힘에겨운 사랑이  어찌 그 사람관 그렇게도  쉬웠었는지 모르겠어  나 하지만 아무런 원망 하지않겠어  그저 한순간의 어설펐던  인연 이었을테니  그래도 너와의 헤어짐 앞에선  담담한 나를 보여주고 싶었어  니 기억에서 날 조금더 빨리 지워지게  잔인하게 좀더 냉정하게  내게 돌아서서 떠나줘  너의 뒷모습에 그나마  내 아픈 상처가 더 깊지 않도록  알고있어 니가 떠난뒤에  내가 어떻게 변해갈지  울컥 솟아나는 눈물이  내남은 삶들을 채워가는 걸  잔인하게 좀더 냉정하게  나를 떠나는 널 보여줘  어떤 사랑에도 다시는  다치지 않도록 차갑게 떠나줘  알고있어 내게 다른사랑  절대 생길수가 없단걸  다만 이런 나를 감추려  또다른 사랑을 찾을 나라는걸
1999.12.19~12.25,6,91320,실연,KYT(코요태),실연,1999.11.06,Dance,이재경,너 떠난후  많이 울었어 혼자가 되어버렸어 나 다시는 널 볼 수 없게 된거니 딴 사람을 만나다보면 쉽게 널 잊을거라던 내 단순했던 생각이 틀린거야 나만을 사랑한다 했잖아 너만 바라보게 했잖아 넌 나를 떠나정말 괜찮은거니 가끔씩 외로움에 취해서 너를 많이 원망했었어 날 버린 니가 너무 너무 미웠어 이대로 날 떠나면 안돼 제발 포기하지 말아줘 널 사랑할때 가장 행복했었어 Get ready Gdouble O goo's on to go Ay Yo Yo three four four here we go 잊혀져 가고 고 고  너를 믿었고 고  너를 보고만 있을때면 난 uh 행복했지만 You're on my mind baby all the time But I found myself that can't deny Now I didn't want to say goodbye bye  너의 모습 멀어져만 가 가  죽어야만 헤어진 다고 그렇게 맹세한 니가 왜 내가슴에 눈물이 돼야 했니 나만을 사랑한다 했잖아 너만 바라보게 했잖아 넌 나를 떠나정말 괜찮은거니 가끔씩 외로움에 취해서 너를 많이 원망했었어 날 버린 니가 너무 너무 미웠어 이대로 날 떠나면 안돼 제발 포기하지 말아줘 널 사랑할때 가장 행복했었어
1999.12.19~12.25,7,37992,Good-Bye Day,김장훈,1999 바보,1999.10,Ballad,양재선,김장훈_Good-bye day 잊을 수 있다고 믿었었는데 이러다 말겠지 생각했는데 우리 함께 듣던 이 노래에 난 왜 또 눈물이 흐르는지 사랑의 슬픔을 알고 있었어 이별로 끝나는 약속이란걸 아름다운 그대의 미소도 이제 더 이상은 내것이 아니야 Good-bye day 나와 영원할 수 없었다면 지금 그 사랑도 그대와 영원할 순 없을테니까 Good-bye day 그대의 사랑도 지칠 테니 난 영원 끝에서 그대를 기다리며 살아갈게  사랑을 말해도 소용없겠지 돌아와 달래도 올 수 없겠지 좋아하던 비라도 내리면 그댄 혹시 나를 생각하는지 언젠간 나에게 돌아오려고 아무말도 없이 떠나간건지 그댄 지금 내 곁에 없지만 잠시 그댈 빌려준 것 뿐이야 Good-bye day 나와 영원할 수 없었다면 지금 그 사랑도 그대와 영원할 순 없을테니까 Good-bye day 그대의 사랑도 지칠 테니 난 영원 끝에서 그대를 기다리며 살아갈게  Good-bye day 나와 영원할 수 없었다면 지금 그 사랑도 그대와 영원할 순 없을테니까 Good-bye day 그대의 사랑도 지칠 테니 난 영원 끝에서 그대를 기다리며 살아갈게
1999.12.19~12.25,8,422691,고요한 밤 거룩한 밤,조성모,Christmas Memories(Remake Special),2002.01,Ballad,,
1999.12.19~12.25,9,85844,Blue Day,포지션,Position,1999.10.22,Rock,HamadaShogo,지친 내눈을 깨우며   쏟아지는 햇살에  오늘도 난 못이긴척   담배에 불을 붙여  내가 왜 일어나는지   이유도 알지 못한채  메마른 내 입술은 또   하루를 살겠지  샤워기에 물을 틀고   뿌연 거울 닦으며  오래 전 콧노래 하던   그녀가 웃는 듯해  젖은 머릿결 사이로 길고   진한 속눈썹을   나의 볼에 부비며 속삭이던   그녀가 우 I want you stay   워 우 꿈을 꾸네  내 품에 잠든 널   문을 열면 스쳐가는  다정한 저 연인들 나는 차마 볼 수 없어  애써 고개 숙이지 행여 나 아닌 사람과  나란히 걷는 그녀와  그 앞에 초라한 나 보게  될까 두려워 우 I want you stay 워 우  꿈을 꾸네 내 품에 잠든 널 그대 긴 머리를 풀고 잠을  청해 보나요 그 누구의 품에 안겨 나를  잊어가나요 이밤 난 그대 꿈꾸던 그 자리에  잠이 들죠 아직도 그대만의 숨결을  느끼면서 어제도 내 눈물로 얼룩진  그 자리에
1999.12.19~12.25,10,85257,바꿔,이정현,Let`s Go To My Star,1999.10,Dance,최준영,모두 제정신이 아니야 다들   미쳐가고만 있어   어느 누굴 믿어 어찌믿어   더는 못믿어   누가 누굴 욕하는거야 그러는   넌 얼마나 깨끗해   너나 할것없이 세상속에   속물들이야   바꿔 바꿔 바꿔 내 모든걸   다 바꿔 바꿔 바꿔   사랑도 다 바꿔 바꿔 바꿔 거짓은   다 바꿔 바꿔 바꿔 세상을 다 바꿔  THANGTH IT WAS A MUST   TO TRUST YOU NOW I CRUSH   YOU ANALYSIN MY BRAIN   너의 가식적인 사랑   나를 다시 사랑하길 바래   내가 다시 돌아오길 바래   그럼 바꾸길 바래 늦기전에   날 잡길 바래  한 여자의 지난 과거가 왜   용서받지 못할 일이야   맘에 걸렸다면 처음부터 왜   날 사랑해   모든 것이 변해버렸어 예전의   나로 착각하지마   나를 버린것을 후회해도   이미 늦었어   바꿔 바꿔 바꿔 내 모든걸   다 바꿔 바꿔 바꿔   사랑도 다 바꿔 바꿔   바꿔 거짓은   다 바꿔 바꿔 바꿔 세상을   다 바꿔 바꿔 바꿔 내 모든걸 다  바꿔 바꿔 바꿔  사랑도 다 바꿔 바꿔 바꿔  거짓은 다 바꿔 바꿔  바꿔 세상을  다 바꿔 바꿔
1999.12.19~12.25,11,1734400,실락원 (타이틀),조관우,실락원,1999.12.03,Ballad,장복신,우---  이제 그 눈물 거두어 마지막 세상을 봐 다시 깨어난 시 린- 아침  그래 함께 가는거야 서로의 가슴 안고 끝-내-- 돌아오지 못-할-- 길고 긴 잠속으로 거역할 수 없는 건 시작된 사랑일-뿐 결코--이별은 아닌데 가혹한 운명의 얼굴이- 끝없는 형벌-에 두마음 쉴 곳 없어-- 이대로 떠나가려 해 늘 쫓겨온 사랑 비로소- 자유로워- -  영원한 꿈을 꾸면 돼 편한 여행처럼-- 이제 곧 닿을 세상에서-  지친 가슴 안았지 아픔에 몸을 떨-며 이미 미 쳐버린 사랑-- 비웃으며 돌아서는 이- 잔인한 세상- 에 아무런 미련없어------- 늘 쫓겨온 사랑 비로소- 자유로워- -  영원한 꿈을 꾸면 돼 편한 여행처럼-- 이제 곧 닿을 세상에서- 뚜루루뚜루뜻 뚜르르뚜뚜 뚜루루뚜루뜻 뚜르르뚜뚜 아---아--- 뚜루루뚜루뚜르 우-우
1999.12.19~12.25,12,83192,Twilight Zone,S.E.S.,Love,1999.10.29,Dance,유영진,Don`t say goodbye   my love   아직 이른 새벽 아침 시간인데   Baby you can`t search   thing that you want   내 꿈안에 널 가두고 싶어   단념할순 없었어   적빛 너의 향기 끝이 없는   너의 욕망   그때로 되돌릴순 없겠지   하지만 지금만큼은   오 난 Huh 그대여 눈물같은   너의 사랑   Would you loving in the   Twilight zone   Just once baby 누구도   너를 데려갈 수 없어   지금 내 안에 있는 걸   Baby you are my everything   and I`m everything for you   The love bond beween   us baby you know   it`s trueuse to walk on   the beach together   make love till we fall in   love foever   and ever fill we die together   아침이 올 때 까지   내 어둠 안에 밝은 빛이   올 때 까지   Baby you can touch my   lonely heart baby   I`m yours   Come into my bed Baby   I`m yours   I will never find a girl   more precious than you   sweeter than you noone   like you prettyer than you   baby you are my everything   SES baby dream team   this is what they sing   아무런 말도 필요없는 걸   난 떠올라 너의 나를 본거야   Alight 그대여 눈물같은 너의 사랑   Would you loving in the   Twilight zone   Just one baby   누구도 너를 데려갈 수 없어   지금 내안에 있는 걸   I can see the light Sign   of the candle light   별을 갈라버린 아침 나를  떠나가겠지만  그대 체온을 난 느낄 수 있어  그대여 눈물같은 너의 사랑  Would you loving in the  Twilight zone Just one  baby 누구도 너를 데려갈 수 없어  지금 내 안에 있는 걸  Twilight zone love me in the  Holy tonight
